1, "Student 1", CS, 2.99
2, "Student 2", Statistics, 3.73
3, "Student 3", Statistics, 2.62
4, "Student 4", Business, 2.87
5, "Student 5", CS, 3.88
6, "Student 6", CS, 3.64
7, "Student 7", Business, 2.96
8, "Student 8", Biology, 2.68
9, "Student 9", Biology, 3.22
10, "Student 10", Business, 3.2
11, "Student 11", Business, 2.72
12, "Student 12", Statistics, 2.77
13, "Student 13", Biology, 2.76
14, "Student 14", Business, 3.03
15, "Student 15", Biology, 2.54
16, "Student 16", Biology, 2.77
17, "Student 17", CS, 3.83
18, "Student 18", Statistics, 3.96
19, "Student 19", Biology, 3.8
20, "Student 20", Statistics, 2.72
21, "Student 21", Business, 3.8
22, "Student 22", CS, 3.22
23, "Student 23", Biology, 2.73
24, "Student 24", Biology, 3.43
25, "Student 25", Business, 3.0
26, "Student 26", Business, 3.78
27, "Student 27", Biology, 3.45
28, "Student 28", Statistics, 2.76
29, "Student 29", CS, 3.82
30, "Student 30", Business, 4.0
31, "Student 31", Biology, 3.7
32, "Student 32", Biology, 2.88
33, "Student 33", CS, 3.35
34, "Student 34", Biology, 2.76
35, "Student 35", Statistics, 3.41
36, "Student 36", Statistics, 3.74
37, "Student 37", Biology, 3.77
38, "Student 38", Business, 3.25
39, "Student 39", CS, 2.61
40, "Student 40", Statistics, 3.88
41, "Student 41", Business, 3.21
42, "Student 42", CS, 2.91
43, "Student 43", CS, 3.54
44, "Student 44", Statistics, 2.88
45, "Student 45", CS, 3.34
46, "Student 46", Statistics, 3.99
47, "Student 47", CS, 3.0
48, "Student 48", CS, 2.98
49, "Student 49", Biology, 3.71
50, "Student 50", Business, 3.09
51, "Student 51", CS, 3.88
52, "Student 52", Business, 3.91
53, "Student 53", Biology, 3.72
54, "Student 54", Biology, 2.61
55, "Student 55", Business, 2.81
56, "Student 56", Biology, 3.84
57, "Student 57", CS, 3.35
58, "Student 58", CS, 3.51
59, "Student 59", CS, 3.09
60, "Student 60", Statistics, 3.98
61, "Student 61", Business, 3.9
62, "Student 62", Business, 3.82
63, "Student 63", Business, 2.58
64, "Student 64", Business, 3.37
65, "Student 65", CS, 3.1
66, "Student 66", CS, 3.53
67, "Student 67", Statistics, 2.6
68, "Student 68", Biology, 2.77
69, "Student 69", Statistics, 2.59
70, "Student 70", Business, 2.51
71, "Student 71", Statistics, 3.39
72, "Student 72", Biology, 3.97
73, "Student 73", Statistics, 3.71
74, "Student 74", CS, 3.15
75, "Student 75", Biology, 3.42
76, "Student 76", Biology, 2.97
77, "Student 77", CS, 3.26
78, "Student 78", CS, 3.27
79, "Student 79", Statistics, 3.63
80, "Student 80", Business, 3.76
81, "Student 81", Biology, 2.62
82, "Student 82", CS, 2.96
83, "Student 83", Business, 3.67
84, "Student 84", Business, 2.98
85, "Student 85", Biology, 3.74
86, "Student 86", Biology, 3.76
87, "Student 87", Biology, 2.87
88, "Student 88", CS, 3.08
89, "Student 89", CS, 3.25
90, "Student 90", CS, 3.81
91, "Student 91", Statistics, 3.26
92, "Student 92", CS, 2.89
93, "Student 93", Business, 3.92
94, "Student 94", CS, 3.58
95, "Student 95", Statistics, 2.89
96, "Student 96", Business, 3.48
97, "Student 97", Statistics, 3.42
98, "Student 98", Biology, 2.78
99, "Student 99", Biology, 3.05
100, "Student 100", CS, 2.68
